 Procedimentos hospitalares do SUS - por local de internação - Brasil
Dias permanência por Unidade da Federação e Ano/mês atendimento
Período:Jan/2010-Set/2021
"Unidade da Federação";"1992/Mar";"1993/Mai";"1993/Dez";"1994/Jan";"1994/Fev";"1994/Mai";"1994/Ago";"1994/Nov";"1995/Jan";"1995/Mar";"1995/Jun";"1995/Ago";"1995/Dez";"1996/Fev";"1996/Mar";"1996/Ago";"1996/Dez";"1997/Fev";"1997/Nov";"1998/Fev";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Dez";"1999/Fev";"1999/Mar";"1999/Mai";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Abr";"2001/Mai";"2001/Jun";"2001/Jul";"2001/Ago";"2001/Set";"2001/Nov";"2002/Jan";"2002/Fev";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Mar";"2003/Abr";"2003/Jun";"2003/Jul";"2003/Out";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Set";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;304;-;-;-;418;626;2361;5683;15794;36116;70684;105087;98367;112297;106716;109775;102022;108704;106638;105468;102594;102555;94107;107318;97977;110669;106517;105866;103032;103260;110693;112489;110073;106358;98747;113671;102285;111707;112150;116767;109245;109859;111940;100420;110361;95678;95815;106140;91417;100916;110221;108596;98712;103852;100262;95304;102592;95342;94282;99886;92604;103915;103744;105271;97941;101167;94388;93309;96899;91774;86009;91848;84156;102865;103245;100082;92094;92782;94137;93504;87816;85836;85581;96170;89873;99565;98446;106055;98774;98905;104675;97982;100376;93757;94273;102912;94118;111346;104627;94149;102179;99440;106349;101369;105758;99997;94004;107803;96061;104903;107084;105442;100968;108239;105368;105649;112098;106841;101843;112487;100744;111762;118015;117385;107385;116772;114187;109365;112493;102654;97785;105478;93870;92237;78886;84221;84761;93475;96433;97947;104390;97372;98988;106136;98338;119849;112497;108178;101646;98333;79063;39512;14407744
"Total";401;243;480;486;243;243;243;243;243;212;231;212;243;123;243;243;243;486;486;138;8546;16501;16663;243;243;1215;1215;486;486;455;729;243;1582;486;188;158;243;243;243;722;516;273;31;274;62;2581;4488;231;3;849;243;123;274;486;1031;339;243;243;243;729;486;243;243;381;486;243;274;243;887;729;759;972;1458;160;243;624;516;1003;729;972;243;486;1064;243;2831;243;56;729;486;729;1232;972;486;486;243;1063;253;318;434;243;729;486;243;486;375;366;486;582;84;8053;19136086;354246;131174;121516;108697;131991;467603;162310;154824;174547;277997;176992;531182;128983;169558;262318;184736;262383;219020;279077;403744;874034;1747723;3221987;6135388;4664996;5483669;5762560;5617402;5067977;5189084;5613403;5218596;5338258;5026658;4754592;5814177;5052337;5385389;5113488;5296108;5105623;5138109;5442344;5091370;5180006;4928073;4641053;5511551;4740213;5345107;5106685;5380580;5098094;5199373;5256470;4842759;5516108;4771838;4517470;6070589;4633290;5206257;5331016;5339481;5039157;5249650;5215548;5024477;5575865;4849393;4577405;5611006;4782094;5118218;5131703;5286037;5093286;5357738;5383852;5329681;5198978;4838399;4833365;5127693;4539820;5358294;5195850;5310684;5219200;5275032;5156594;4991022;5057839;4866724;4619769;5072299;4765878;5333516;5109881;5219700;5115991;5490317;5227116;4904204;4941881;4675013;4537009;5059785;4566075;5338333;4911814;5319566;5090368;5103009;5402495;4913393;5172402;4862964;4620202;5182313;4597251;5182296;5208425;5331695;5112694;5252828;5310809;4938632;5321982;4931187;4731737;5285710;4809304;5264190;5249771;5501173;5112252;5407205;5363989;5139181;5339701;4973012;4826151;5289799;4797125;4503036;3814631;4138220;4315570;4663142;4673533;4677653;4844284;4662676;4674571;4977639;4670453;5615307;5350620;5585625;5053782;4401066;3376687;1428676;741571654
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
